中文名,外文名,机构属性,行动领域,细分行动领域,设立年份,所在地,官网,微信公众号,LinkedIn,机构介绍,参考资料
海因里希·伯尔基金会（德国）北京代表处,Heinrich Böll Stiftung Beijing Representative Office,境外非政府组织,气候能源,环境与生态-公共政策,2017,北京,https://cn.boell.org/en,,,,
罗莎·卢森堡基金会（德国）北京代表处,Rosa Luxemburg Foundation China Office,境外非政府组织,政策治理,社会政策-国际交流,2017,北京,https://www.rosalux.de/en/,,,,
大自然保护协会（美国）北京代表处,The Nature Conservancy (TNC) Beijing Representative Office,境外非政府组织,气候能源,环境与生态-自然资源管理,2017,北京,https://www.tnc.org.cn/,大自然保护协会TNC,,,
蒙古国工商会北京代表处,Mongolian National Chamber of Commerce and Industry (MNCCI) Beijing Representative Office,境外非政府组织,金融治理,商会服务-经贸合作,2017,北京,https://www.mongolchamber.mn/,,,,
阿登纳基金会（德国）北京代表处,Konrad-Adenauer-Stiftung (KAS) Beijing,境外非政府组织,政策治理,政策交流-民主治理,2017,北京,https://www.kas.de/zh/web/china,,,,
弗里德里希·艾伯特基金会（德国）北京代表处,Friedrich-Ebert-Stiftung (FES) Büro China (Peking),境外非政府组织,政策治理,社会政策-劳工与治理,2017,北京,https://china.fes.de/,,,,
一般社团法人日本汽车工业协会北京代表处,Japan Automobile Manufacturers Association (JAMA) Beijing Representative Office,境外非政府组织,产业制造,产业协会-汽车工业,2017,北京,https://www.jama.or.jp/english/,,,,
商业软件联盟（美国）北京代表处,Business Software Alliance (BSA) Beijing Representative Office,境外非政府组织,数字信息,数字治理-软件产业,2017,北京,https://www.bsa.org/,BSA软件联盟,,,
新西兰中国国际贸易促进委员会辽宁办事处,New Zealand China International Trade Association Inc. (NZCITA) Liaoning Representative Office,境外非政府组织,金融治理,经贸合作-贸易促进,2017,辽宁沈阳,http://www.nzcita.org/cn/,新西兰中国国际贸易促进委员会,,,
环球志愿者（美国）陕西代表处,Global Volunteers Shaanxi Representative Office,境外非政府组织,公益服务,志愿服务-社区发展,2017,陕西西安,https://globalvolunteers.org/,,,,
丝绸之路国际总商会（香港）陕西代表处,Silk Road Chamber of International Commerce (SRCIC) Shaanxi Office,境外非政府组织,金融治理,经贸合作-商会服务,2017,陕西西安,https://srcic.org/,丝绸之路国际总商会,,,
世界宣明会-中国基金有限公司（香港）广西代表处,World Vision China Foundation Limited Guangxi Representative Office,境外非政府组织,公益服务,儿童发展-减贫,2017,广西南宁,https://www.worldvisionchina.org/,世界宣明会,,,
世界黄金协会（瑞士）上海代表处,World Gold Council (WGC) Shanghai Office,境外非政府组织,产业制造,行业协会-贵金属市场,2017,上海,https://china.gold.org/,世界黄金协会,,,
日本一般财团法人大阪国际经济振兴中心上海代表处,Osaka International Business Promotion Center (IBPC) Shanghai Representative Office,境外非政府组织,金融治理,经贸合作-投资促进,2017,上海,https://osaka-sh.com.cn/cn/,大阪市上海事务所,,,
美国美中国际商务高级研究院上海代表处,U.S.-China Advanced Institute for International Business Shanghai Representative Office,境外非政府组织,教育培养,经贸交流-商学培训,2017,上海,,美中商务研究,,,
弗里德里希·艾伯特基金会（德国）上海代表处,Friedrich-Ebert-Stiftung (FES) Büro China (Shanghai),境外非政府组织,政策治理,政策交流-社会发展,2017,上海,https://china.fes.de/,,,,
阿登纳基金会（德国）上海代表处,Konrad-Adenauer-Stiftung (KAS) Shanghai,境外非政府组织,政策治理,政策交流-治理合作,2017,上海,https://www.kas.de/zh/web/china,,,,
阿联酋迪拜商会上海代表处,Dubai Chamber of Commerce Shanghai Representative Office,境外非政府组织,金融治理,经贸合作-商会服务,2017,上海,https://www.dubaichambercommerce.com/en/,迪拜商会,,,
国际商会（法国）上海代表处,International Chamber of Commerce (ICC) Shanghai,境外非政府组织,法律仲裁,国际经贸规则-商事治理,2017,上海,https://iccwbo.org/,ICC国际商会,,,
香港国际仲裁中心上海代表处,Hong Kong International Arbitration Centre (HKIAC) Shanghai Office,境外非政府组织,法律仲裁,国际仲裁-争端解决,2017,上海,https://hkiac.org/,香港国际仲裁中心HKIAC,,,
德国机械设备制造业联合会上海代表处,Verband Deutscher Maschinen- und Anlagenbau (VDMA) Shanghai Office ,境外非政府组织,产业制造,制造业-行业协会,2017,上海,https://www.vdma.eu/de/office-china,VDMA Office,,,
日本一般社团法人日中经济贸易中心上海代表处,Japan China Economic Relations and Trade Centre (JCC) Shanghai Representative Office,境外非政府组织,金融治理,经贸合作-企业服务,2017,上海,http://www.japanchina.jp/,,,,
马来西亚棕榈油委员会上海代表处,Malaysian Palm Oil Council (MPOC) Shanghai Representative Office,境外非政府组织,农业食品,农业贸易-食品与油脂,2017,上海,http://www.mpoc.org.cn/,马来西亚棕榈油委员会,,,
丹麦出口协会上海代表处,Danish Export Association (DEA) Shanghai Representative Office,境外非政府组织,金融治理,贸易促进-企业对接,2017,上海,https://www.danishexport.dk/en,丹麦出口协会,,,
社团法人韩国纺织品中心上海代表处,Korea Textile Center (KTC) Shanghai Representative Office,境外非政府组织,产业制造,纺织服装-行业服务,2017,上海,http://www.ktcin.com/,韩国纺织品中心,,,
韩国（财）京畿道经济科学振兴院上海代表处,Gyeonggi Business & Science Accelerator (GBSA) Shanghai Representative Office,境外非政府组织,金融治理,创新创业-产业促进,2017,上海,https://www.gbsa.or.kr/,京畿道商务中心,,,
美国加州巴旦木协会上海代表处,Almond Board of California (ABC) Shanghai Representative Office,境外非政府组织,农业食品,农业贸易-坚果产业,2017,上海,https://www.jiazhoubadanmu.com/,美国加州巴旦木协会,,,
日本公益财团法人长野县产业振兴机构上海代表处,Nagano Industrial and Commercial Encouragement Organization (NICE) Shanghai Representative Office,境外非政府组织,金融治理,产业促进-投资合作,2017,上海,https://www.nice-o.or.jp/,,,,
美国水质协会上海代表处,Water Quality Association (WQA) Shanghai Representative Office,境外非政府组织,法律仲裁,水处理-行业标准,2017,上海,https://wqa.org/,WQA美国水质协会,,,
澳大利亚维多利亚州工商会上海代表处,Australian Victorian Chamber of Commerce and Industry (VCCI) Shanghai Representative Office,境外非政府组织,金融治理,经贸合作-商会服务,2017,上海,https://www.victorianchamber.com.au/,澳大利亚维多利亚州工商会,,,
韩国著作权委员会北京代表处,Korea Copyright Commission (KCC) Beijing Office,境外非政府组织,法律仲裁,版权治理-知识产权,2017,北京,https://www.copyright.or.kr/eng/main.do,韩国著作权,,,
韩国釜山经济振兴院青岛代表处,Busan Economic Promotion Agency (BEPA) Qingdao Representative Office,境外非政府组织,金融治理,产业促进-投资合作,2017,山东青岛,https://www.bepa.kr/english,韩国釜山经济振兴院青岛代表处,,,
尼玛协会（德国）拉萨联络处,Nyma e.V. Lhasa Liaison Office,境外非政府组织,公益服务,社会服务-社区发展,2017,西藏拉萨,https://www.nyma.de/,,,,
日本一般社团法人山形县国际经济振兴机构哈尔滨代表处,Yamagata International Economic Development Support Organization (YES) Harbin Representative Office,境外非政府组织,金融治理,经贸合作-投资促进,2017,黑龙江哈尔滨,http://www.yamagata-harbin.cn/,日本山形县哈尔滨事务所,,,
一般财团法人日中经济协会沈阳代表处,Japan-China Economic Association (JCEA) Shenyang Representative Office,境外非政府组织,金融治理,经贸合作-产业交流,2017,辽宁沈阳,https://www.jc-web.or.jp/,,,,
韩国（财）京畿道经济科学振兴院沈阳代表处,Gyeonggi Business & Science Accelerator (GBSA) Shenyang Representative Office,境外非政府组织,金融治理,创新创业-产业促进,2017,辽宁沈阳,https://www.gbsa.or.kr/,京畿道沈阳代表处,,,
汉斯·赛德尔基金会（德国）甘肃代表处,Hanns Seidel Foundation Gansu Office,境外非政府组织,政策治理,政策交流-能力建设,2017,甘肃酒泉,https://china.hss.de/,德国汉斯赛德尔基金会,,,
马大夫之家（法国）甘肃代表处,Children of Madaifu Gansu Representative Office,境外非政府组织,卫生健康,公共卫生-医疗援助,2017,甘肃天水,https://madaifu.info/zh/,马大夫之家,,,
台湾贸易中心成都代表处,Taiwan Trade Center (TTC) Chengdu Representative Office,境外非政府组织,金融治理,贸易促进-展会服务,2017,四川成都,,台湾贸易中心成都代表处,,,
太平洋环境资源中心(美国)驻重庆代表处,Pacific Environment and Resource Center Chongqing Representative Office,境外非政府组织,气候能源,环境与生态-气候与能源,2017,重庆,https://www.pacificenvironment.cn/,太平洋环境,,,
(财)京畿道经济科学振兴院（韩国）重庆代表处,Gyeonggi Business & Science Accelerator (GBSA) Chongqing Representative Office,境外非政府组织,金融治理,创新创业-产业促进,2017,重庆,https://www.gbsa.or.kr/,京畿道驻重庆商务中心,,,
美国电影协会北京代表处,Motion Picture Association of America (MPA) Beijing Representative Office,境外非政府组织,文体交流,文化产业-影视版权,2017,北京,https://www.motionpictures.org/,,,,
电影振兴委员会（韩国）北京代表处,Korean Film Council’s (KOFIC) China Office (Beijing) ,境外非政府组织,文体交流,文化产业-电影交流,2017,北京,https://www.koreanfilm.or.kr/,韩国电影振兴委员会,,,
国际唱片业协会（瑞士）北京代表处,International Federation of the Phonographic Industry (IFPI) Beijing Representative Office,境外非政府组织,文体交流,音乐产业-版权治理,2017,北京,https://www.ifpi.org/,,,,
国际计划（美国）陕西代表处,Plan International (PI) Shaanxi Representative Office,境外非政府组织,公益服务,儿童权利-教育发展,2017,陕西西安,https://plan-international.org/,国际计划,,,
福特基金会（美国）北京代表处,Ford Foundation Beijing Office,境外非政府组织,公益服务,社会发展-公益资助,2017,北京,https://www.fordfoundation.org/,福特基金会,,,
卡特彼勒基金会（美国）北京代表处,Caterpillar Foundation Beijing Office,境外非政府组织,公益服务,公益资助-教育与生计,2017,北京,https://www.caterpillar.com/zh/company/caterpillar-foundation.html,卡特彼勒中国,,,
亚洲基金会（美国）北京代表处,The Asia Foundation Beijing Representative Office,境外非政府组织,政策治理,治理与发展-区域合作,2017,北京,https://asiafoundation.org/,亚洲基金会,,,
赠与亚洲（美国）北京代表处,Give2Asia Beijing Representative Office,境外非政府组织,公益服务,公益资助-慈善捐赠,2017,北京,https://give2asia.org/,,,,
克莱恩斯欧洲环保协会（英国）北京代表处,ClientEarth's China office,境外非政府组织,气候能源,环境与生态-气候政策,2017,北京,https://www.clientearth.cn/,欧洲环保协会,,,
加拿大广西总商会广西办事处,Canada China Guangxi Trading Association Guangxi Office,境外非政府组织,金融治理,商会服务-经贸合作,2017,广西南宁,,,,,
一般社团法人日中投资促进机构（日本）北京代表处,Japan-China Investment Promotion Organization (JCIPO) Beijing Representative Office,境外非政府组织,金融治理,投资促进-经贸合作,2017,北京,https://www.jcipo.org/,,,,
美国环保协会北京代表处,Environmental Defense Fund (EDF) Beijing Representative Office,境外非政府组织,气候能源,环境与生态-气候变化,2017,北京,https://www.cet.net.cn/zh,美国环保协会,,,
一般社团法人日本铁钢连盟北京代表处,The Japan Iron and Steel Federation (JISF) Representative Office in Beijing,境外非政府组织,产业制造,钢铁行业-产业政策,2017,北京,https://www.jisf.or.jp/en/index.html,,,,
美国信息产业机构北京办事处,United States Information Technology Organization (USITO) Beijing Office,境外非政府组织,数字信息,数字经济-科技政策,2017,北京,https://www.usito.org/,,,,
中国光电线缆商会（香港）北京代表处,,境外非政府组织,产业制造,产业合作-行业协会,2017,北京,,,,,
韩国生产技术研究院青岛代表处,Korea Institute of Industrial Technology (KITECH) Qingdao Representative Office,境外非政府组织,产业制造,技术研发-产业创新,2017,山东青岛,https://eng.kitech.re.kr/,,,,
亚太旅游协会（美国）北京办事处,Pacific Asia Travel Association (PATA) Beijing Office,境外非政府组织,文体交流,旅游产业-行业合作,2017,北京,https://patachina.cn/,亚太旅游协会 PATA,,,
国际丝路经贸和文化协会（土耳其）天津代表处,Turkey International Silkroad Trade and Culture Association (ISTCA) Tianjin Representative Office,境外非政府组织,文体交流,经贸交流-文化合作,2017,天津,,国际丝路经贸和文化协会,,,
全日本海员工会天津代表处,All Japan Seamen's Union (JSU) Tianjin Representative Office,境外非政府组织,公益服务,劳工权益-海员组织,2017,天津,https://www.jsu.or.jp/eng/,,,,
世界贸易中心协会（美国）北京代表处,World Trade Centers Association (WTCA) Beijing Representative Office,境外非政府组织,金融治理,国际贸易-商贸网络,2017,北京,http://www.wtca.cn/,世界贸易中心协会WTCA,,,
（台湾）中华茶艺联合促进会厦门市代表处,China Tea Art Association Xiamen Representative Office,境外非政府组织,文体交流,文化交流-茶产业推广,2017,福建厦门,,,,,
云彩教育及文化交流协会有限公司（香港）昆明代表处,Yuncai Education and Cultural Exchange Association (YCECEA) Kunming Representative Office,境外非政府组织,教育培养,教育公益-文化交流,2017,云南昆明,https://www.ycecea.hk/,,,,
福华国际（美国）云南代表处,Bless China International (BCI) Yunnan Representative Office,境外非政府组织,公益服务,公益发展-社区支持,2017,云南昆明,,福华国际美国云南代表处,,,
中加心脏健康检查（美国）云南代表处,China California Heart Watch Yunnan Representative Office,境外非政府组织,卫生健康,公共卫生-心血管健康,2017,云南昆明,https://www.ccheartwatch.org/,,,,
救世军（香港）云南办事处,The Salvation Army Yunnan Office,境外非政府组织,公益服务,社会救助-社区服务,2017,云南昆明,https://salvationarmy.org.hk/,救世军香港云南办事处,,,
微笑行动组织（美国）云南代表处,Operation Smile Yunnan Representative Office,境外非政府组织,卫生健康,儿童医疗-唇腭裂救治,2017,云南昆明,https://www.operationsmile.org/,微笑行动OperationSmile,,,
救世军（香港）四川办事处,The Salvation Army Sichuan Office,境外非政府组织,公益服务,社会救助-社区服务,2017,四川成都,https://salvationarmy.org.hk/,救世军香港四川办事处,,,
中华台商经贸交流协会（中国台湾）福建代表处,,境外非政府组织,金融治理,经贸交流-企业合作,2017,福建厦门,,中华经贸,,,
台湾中华青年志工交流协会福建办事处,,境外非政府组织,公益服务,志愿服务-青年交流,2017,福建福州,,致睿青少年事务服务中心,,,
华恩基金会有限公司（简称华恩基金会）（中国香港）广西代表处,Gratia Foundation Limited Guangxi Representative Office,境外非政府组织,教育培养,教育公益-儿童发展,2017,广西南宁,https://www.gratia.org.hk/,,,,
加中儿童健康基金会广州办事处,Canada-China Child Health Foundation Guangzhou Office,境外非政府组织,卫生健康,公共卫生-儿童健康,2017,广东广州,,,,,
特定非营利活动法人日本沙漠绿化实践协会内蒙古代表处,The Japan Association for Greening Deserts Inner Mongolia Representative Office,境外非政府组织,气候能源,环境与生态-荒漠化治理,2017,内蒙古呼和浩特,https://sabakuryokka.org/,,,,
加拿大加中贸易理事会北京代表处,Canada China Business Council (CCBC) Beijing Representative Office,境外非政府组织,金融治理,贸易促进-投资合作,2017,北京,https://ccbc.com/zh-hans/chapters/shanghai/,加中贸易理事会,,,
社区伙伴（香港）北京代表处,Partnerships for Community Development (PCD) Beijing Representative Office,境外非政府组织,公益服务,社区发展-公益支持,2017,北京,https://www.pcd.org.hk/zh-hans,社区伙伴PCD,,,
国际鹤类基金会（美国）北京代表处,International Crane Foundation (ICF) Beijing Representative Office,境外非政府组织,气候能源,环境与生态-湿地与鸟类保护,2017,北京,https://www.savingcranes.org.cn/,国际鹤类基金会ICF,,,
丝绸之路国际总商会（香港）北京代表处,Silk Road Chamber of International Commerce Beijing Office,境外非政府组织,金融治理,经贸合作-商会网络,2017,北京,https://srcic.org/,丝绸之路国际总商会,,,
国际合作志愿组织 - 我们的家园（意大利）北京办事处,OVCI La Nostra Famiglia ETS (OVCI Our Family) Beijing Office,境外非政府组织,公益服务,人道援助-社区发展,2017,北京,https://ovci.it/it/,OVCI我们的家园,,,
瑞银慈善基金会（瑞士）北京代表处,UBS Optimus Foundation Beijing Representative Office,境外非政府组织,公益服务,公益资助-教育与健康,2017,北京,https://www.ubs.com/global/en.html,瑞银财富管理,,,
亚太速递商论坛（新加坡）北京代表处,Conference of Asia Pacific Express Carriers (CAPEC) Beijing Representative Office,境外非政府组织,物流交通,物流与快递-行业合作,2017,北京,http://www.capec.com.au/,,,,
日本唱片业协会北京代表处,Recording Industry Association of Japan (RIAJ) Beijing Representative Office,境外非政府组织,文体交流,音乐产业-版权保护,2017,北京,https://www.riaj.or.jp/e/,,,,
日本公益财团法人神奈川产业振兴中心大连代表处,Kanagawa Industrial Promotion Center (KIPC) Dalian Representative Office,境外非政府组织,金融治理,产业促进-投资合作,2017,辽宁大连,https://www.kipc.or.jp/,,,,
角声基金会（美国）陕西代表处,Herald Foundation Shaanxi Representative Office,境外非政府组织,公益服务,教育公益-社区发展,2017,陕西西安,,,,,
大韩商工会议所北京代表处,Korea Chamber of Commerce and Industry (KCCI) Beijing Office,境外非政府组织,金融治理,商会服务-经贸合作,2017,北京,https://kcciglobalsquare.net/,,,,
野生生物保护学会（美国）北京代表处,Wildlife Conservation Society (WCS) Beijing Office,境外非政府组织,气候能源,环境与生态-野生动物保护,2017,北京,http://wcs.org.cn/,WCS野生生物保护学会,,,
世界钢铁协会（比利时）北京代表处,World Steel Association (WSA) Beijing Office,境外非政府组织,产业制造,钢铁行业-产业研究,2017,北京,https://worldsteel.org/zh-hans/,世界钢铁协会,,,
中国国际青年成就（美国）北京代表处,Junior Achievement China (JA China) Beijing Representative Office,境外非政府组织,教育培养,青年教育-创业能力,2017,北京,https://www.jachina.org/,青年成就中国在行动,,,
美国肉类出口协会北京代表处,U.S. Meat Export Federation (USMEF) Beijing Representative Office,境外非政府组织,农业食品,农业贸易-肉类产业,2017,北京,https://usmef.org/,美国肉类出口协会,,,
台湾社团法人台南市文化协会厦门市代表处,,境外非政府组织,文体交流,文化交流-社区发展,2017,福建厦门,,,,,
日本公益财团法人冲绳县产业振兴公社福州代表处,Okinawa Industrial Promotion Public Corporation Fuzhou Representative Office,境外非政府组织,金融治理,产业促进-经贸合作,2017,福建福州,https://okinawa-ric.jp/,,,,
日本公益财团法人茨城县国际交流协会上海代表处,Ibaraki International Association Shanghai Representative Office,境外非政府组织,金融治理,国际交流-经贸合作,2017,上海,https://www.ia-ibaraki.or.jp/,日本茨城县上海事务所,,,
日本公益财团法人福岛县产业振兴中心上海代表处,Fukushima Prefectural Government Shanghai Office (Shanghai office of the Fukushima Centre for Industrial Promotion),境外非政府组织,金融治理,产业振兴-投资促进,2017,上海,https://www.fukushima-cn.com/,日本公益财团福岛县中心上海代表处,,,
日本公益社团法人鹿儿岛县特产品协会上海代表处,Japan Kagoshima Products Association Shanghai Representative Office,境外非政府组织,农业食品,农特产品-贸易推广,2017,上海,https://www.k-p-a.jp/,心之所向鹿儿岛,,,
瑞士良好棉花发展协会上海代表处,Better Cotton Initiative (BCI) Shanghai Representative Office,境外非政府组织,农业食品,可持续农业-棉花供应链,2017,上海,https://bettercotton.org/,,,,
香港国际文化融合基金会江苏代表处,Hong Kong International Cultural Integration Foundation Jiangsu Representative Office,境外非政府组织,教育培养,文化交流-教育公益,2017,江苏南京,,,,,
田家炳基金会（中国香港）广州代表处,Tin Ka Ping Foundation Guangzhou Representative Office,境外非政府组织,教育培养,教育公益-奖助学金,2017,广东广州,https://www.tinkaping.org/,田家炳基金会,,,
日本一般社团法人长崎县贸易协会上海代表处,Nagasaki Prefecture Shanghai Representative Office,境外非政府组织,金融治理,贸易促进-企业服务,2017,上海,https://www.shnagasaki.com.cn/ja-JP/,相遇长崎,,,
日本公益财团法人冲绳县产业振兴公社上海代表处,Japanese Okinawa Industry Promotion Public Corporation Shanghai Representative Office,境外非政府组织,金融治理,产业促进-投资合作,2017,上海,https://okinawa-ric.jp/,,,,
日本公益财团法人福冈县中小企业振兴中心上海代表处,Japan the Fukuoka Center for the Promotion of Small and Medium Enterprises Shanghai Representative Office,境外非政府组织,金融治理,中小企业发展-贸易合作,2017,上海,https://www.fukuokash.com.cn/zh,,,,
日本公益财团法人福井产业支援中心上海代表处,Fukui Industrial Support Center (FISC) Shanghai Representative Office,境外非政府组织,金融治理,产业扶持-企业合作,2017,上海,https://www.fisc.jp/,日本福井县介绍,,,
日本一般社团法人熊本县贸易协会上海代表处,Kumamoto Prefecture Foreign Trade Association Shanghai Representative Office,境外非政府组织,金融治理,贸易促进-企业服务,2017,上海,http://www.kumamoto-shanghai.cn/,邂逅熊本,,,
日本公益财团法人德岛产业振兴机构上海代表处,Tokushima Industrial Promotion Organization Shanghai Representative Office,境外非政府组织,金融治理,产业促进-经贸合作,2017,上海,https://www.our-think.or.jp/,,,,
韩国财团法人济州特别自治道经济通商振兴院上海代表处,Jeju Special Self-Governing Province Economic and Trade Promotion Agency Liaison Office (Shanghai)/Jeju Business Agency (JBA) Shanghai Office,境外非政府组织,政策治理,经贸合作-产业促进,2017,上海,http://jejutrade.or.kr/en,济州之窗一济州特别自治道,,,
香港公司治理公会北京代表处,The Hong Kong Chartered Governance Institute (HKCGI) Beijing Representative Office,境外非政府组织,教育培养,公司治理-专业培训,2017,北京,https://www.hkcgi.org.hk/,香港公司治理公会北京代表处,,,
智华基金（香港）北京代表处,Chi Wah Foundation Limited (HKCWF) Beijing Representative Office,境外非政府组织,气候能源,教育公益-青年发展,2017,北京,https://www.hkcwf.org/,,,,
野生救援（美国）北京代表处,WildAid Beijing Office,境外非政府组织,教育培养,环境与生态-环保倡议,2017,北京,https://wildaidchina.org.cn/,野生救援WildAid,,,
李兆基基金（香港）北京代表处,Lee Shau Kee Foundation Beijing Representative Office,境外非政府组织,公益服务,教育公益-扶贫发展,2017,北京,https://www.leeshaukee.com.hk/,恒基兆业集团,,,
乐施会（香港）北京办事处,Oxfam Hong Kong Beijing Office,境外非政府组织,公益服务,减贫发展-人道援助,2017,北京,https://www.oxfam.org.hk/,香港樂施會 OXFAM,,,
日本公益社团法人北九州贸易协会大连代表处,Kitakyushu Foreign Trade Association (KFTA) Dalian Representative Office,境外非政府组织,金融治理,贸易促进-企业合作,2017,辽宁大连,https://www.kfta.or.jp/,北九州市info,,,
加拿大中国委员会辽宁代表处,,境外非政府组织,金融治理,国际交流-经贸合作,2017,辽宁大连,,,,,
美国全球中小企业联盟上海代表处,Global Alliance of SMEs (GASME) Asia Office,境外非政府组织,金融治理,中小企业发展-国际合作,2017,上海,http://www.globalsmes.org/,全球中小企业联盟,,,
德国工商大会广州代表处,German Chamber of Commerce in China (AHK) Guangzhou Representative Office,境外非政府组织,金融治理,经贸合作-商会服务,2017,广东广州,https://china.ahk.de/en,德国海外商会联盟,,,
日本公益财团法人大阪产业局上海代表处,Osaka Business Development Agency Shanghai Representative Office,境外非政府组织,金融治理,产业振兴-投资促进,2017,上海,https://osaka-sh.com.cn/cn/,大阪市上海事务所,,,
香港恩友行动广西代表处,Grace Vessel Guangxi Representative Office,境外非政府组织,公益服务,公益慈善-社区支持,2017,广西南宁,https://gracevessel.org.hk/,,,,
培志教育协会（台湾）云南办事处,Peach Foundation Yunnan Office,境外非政府组织,教育培养,教育公益-乡村教育,2017,云南昆明,https://www.peachfoundationusa.org/,,,,
美国祝福之手广西代表处,American Blessing Hand Guangxi Representative Office,境外非政府组织,公益服务,慈善救助-社区发展,2017,广西南宁,,,,,
基督教励行会（中国香港）青海省代表处,Christian Action Qinghai Representative Office,境外非政府组织,公益服务,社会服务-教育与扶贫,2017,青海西宁,https://www.christian-action.org.hk/en/,,,,
国际游乐园及景点协会（美国）上海代表处,International Association of Amusement Parks and Attractions (IAAPA) Shanghai Representative Office,境外非政府组织,文体交流,文旅产业-行业标准,2017,上海,https://iaapa.org/,IAAPA国际游乐园及景点协会,,,
韩国社团法人大邱会展机构上海代表处,Daegu Exhibition & Convention Center (EXCO) Shanghai Representative Office,境外非政府组织,文体交流,会展经济-旅游推广,2017,上海,https://www.exco.co.kr/,韩国大邱广域市上海代表处,,,
韩国大韩商事仲裁院上海代表处,Korean Commercial Arbitration Board (KCAB) Shanghai Representative Office,境外非政府组织,法律仲裁,商事仲裁-争端解决,2017,上海,https://www.kcabinternational.or.kr/,大韩商事仲裁院,,,
日本公益财团法人群马县产业支援机构上海代表处,Gunma Industry Support Organization Shanghai Representative Office,境外非政府组织,金融治理,产业支持-企业合作,2017,上海,https://gunmash.cn/,日本群马县观光局,,,
瑞尔保护协会(美国)湖北办事处,Rare Animal Relief Effort (RARE) Hubei Office,境外非政府组织,气候能源,环境与生态-社区参与,2017,湖北武汉,https://rare.org/,瑞尔保护协会Rare,,,
德国石荷州经济技术促进中心杭州办事处,Business Development and Technology Transfer of Schleswig-Holstein (WTSH) Hangzhou Office,境外非政府组织,金融治理,经贸合作-技术交流,2017,浙江杭州,https://www.wtsh.cn/,德国石荷州,,,
日本公益财团法人爱知产业振兴机构上海代表处,Aichi Industry Promotion Organization Shanghai Representative Office,境外非政府组织,金融治理,产业振兴-投资促进,2017,上海,https://www.aibsc.jp/,,,,
荷兰贸易促进委员会青岛代表处,Netherlands Business Support Office (NBSO) Qingdao,境外非政府组织,金融治理,贸易促进-经贸合作,2017,山东青岛,https://www.rvo.nl/onderwerpen/buitenlandnetwerk/nbso,荷兰贸易促进委员会NBSO,,,
德国工商大会上海代表处,AHK Greater China Shanghai Office,境外非政府组织,金融治理,经贸合作-商会服务,2017,上海,https://china.ahk.de/en,德国海外商会联盟,,,
韩国水产业协同组合中央会上海代表处,National Federation of Fisheries Cooperatives (SUHYUP) Shanghai Representative Office,境外非政府组织,农业食品,水产产业-贸易推广,2017,上海,https://en.suhyup.co.kr/suhyup-en,,,,
日本公益社团法人宫城县国际经济振兴协会大连代表处,Miyagi International Business Promotional Association Dalian Representative Office,境外非政府组织,金融治理,经贸合作-产业交流,2017,辽宁大连,https://japan-miyagi.jp/news/category/dalian,,,,
台湾贸易中心大连代表处,Taiwan Trade Center (TTC) Dalian Representative Office,境外非政府组织,金融治理,贸易促进-展会服务,2017,辽宁大连,,台湾贸易中心大连代表处,,,
荷兰农民生产者协会重庆代表处,Agriterra Chongqing Representative Office,境外非政府组织,农业食品,农业合作-农产品贸易,2017,重庆,https://www.agriterra.org/,Agriterra,,,
德国工商大会北京代表处,Delegation of German Industry and Commerce Beijing,境外非政府组织,金融治理,商会服务-经贸合作,2017,北京,https://china.ahk.de/en,德国海外商会联盟,,,
公益财团法人新潟市产业振兴财团(日本)北京代表处,Niigata City Industrial Promotion Foundation Beijing Representative Office,境外非政府组织,金融治理,产业振兴-投资促进,2017,北京,https://niigata.stars.ne.jp/zh/cn,,,,
日本日中长期贸易协议委员会北京代表处,Japan-China Long-Term Trade Committee Beijing Representative Office,境外非政府组织,政策治理,经贸合作-政策协调,2017,北京,https://www.jc-web.or.jp/lt/,,,,
洛克菲勒兄弟基金会（美国）北京代表处,Rockefeller Brothers Fund (RBF) Beijing Representative Office,境外非政府组织,公益服务,公益资助-可持续发展,2017,北京,https://rockefellerbrothersfund.org.cn/,,,,
自然资源保护协会（美国）北京代表处,Natural Resources Defense Council (NRDC) Beijing Office,境外非政府组织,气候能源,环境与生态-气候变化,2017,北京,https://nrdc.cn/,NRDC自然资源保护协会,,,
世界资源研究所（美国）北京代表处,World Resources Institute (WRI) Beijing Representative Office,境外非政府组织,气候能源,气候变化-资源治理,2017,北京,https://wri.org.cn/,世界资源研究所,,,
小平教育基金会有限公司（香港）四川代表处,Xiaoping Education Foundation (XPEF) Sichuan Representative Office,境外非政府组织,教育培养,教育公益-奖助学金,2017,四川成都,http://xpef.org/,,,,
香港复康会四川代表处,The Hong Kong Society for Rehabilitation (HKSR) Sichuan Representative Office,境外非政府组织,公益服务,康复服务-残障支持,2017,四川成都,https://www.rehabsociety.org.hk/zh-hans/,,,,
全球联合之路（美国）上海代表处,United Way Worldwide (UW) Shanghai Representative Office,境外非政府组织,公益服务,公益慈善-社区发展,2017,上海,https://www.unitedway.org/,,,,
沪港青年会（香港）上海代表处,Hong Kong-Shanghai Youth Association (HKSHYA) Shanghai Representative Office,境外非政府组织,文体交流,青年交流-文化合作,2017,上海,https://www.hkshya.org.hk/,沪港青年会,,,
施永青基金（香港）北京代表处,Shih Wing Ching Foundation Beijing Representative Office,境外非政府组织,公益服务,教育公益-社区支持,2017,北京,https://shihwingchingfoundation.org/zh-hans/,施永青基金,,,
